anio_enfr,prov_id,prov_nombre,grupo_edad_amp,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2018,90,Tucumán,75+,Mujer,5505,2355.42,0.43,0.2,0.08,0.38,Muy alta
2018,90,Tucumán,75+,Varón,1949,1306.37,0.67,0.09,0.07,0.75,Muy alta
2018,94,Tierra del Fuego,20 a 29,Mujer,326,235.82,0.72,0.04,0.03,0.72,Muy alta
2018,94,Tierra del Fuego,20 a 29,Varón,1022,618.05,0.6,0.08,0.05,0.69,Muy alta
2018,94,Tierra del Fuego,30 a 44,Mujer,2900,885.75,0.31,0.12,0.04,0.31,Muy alta
2018,94,Tierra del Fuego,30 a 44,Varón,3204,686.4,0.21,0.17,0.04,0.25,Alta
2018,94,Tierra del Fuego,45 a 59,Mujer,2710,862.48,0.32,0.22,0.07,0.32,Muy alta
2018,94,Tierra del Fuego,45 a 59,Varón,2593,826.11,0.32,0.25,0.08,0.31,Muy alta
2018,94,Tierra del Fuego,60 a 74,Mujer,1561,800.32,0.51,0.24,0.12,0.51,Muy alta
2018,94,Tierra del Fuego,60 a 74,Varón,1761,969.46,0.55,0.22,0.12,0.54,Muy alta
2018,94,Tierra del Fuego,75+,Mujer,290,234.9,0.81,0.33,0.28,0.87,Muy alta
2018,94,Tierra del Fuego,75+,Varón,314,275.83,0.88,0.2,0.23,1.13,Muy alta
